AGENCY NAME,Women Mentions,Black Mentions,Black Women Mentions
ACC-APG-Edgewood,0,1,0
Administration for Children and Families - OHS,1,0,0
Advanced Research Projects Agency Energy,1,0,0
Agency for International Development,1,0,0
Bureau of African Affairs,1,0,0
Bureau of International Labor Affairs,2,0,0
Bureau of International Narcotics-Law Enforcement,1,0,0
Bureau of Population Refugees and Migration,1,0,0
Bureau of Western Hemisphere Affairs,3,0,0
Centers for Disease Control - NCCDPHP,1,0,0
Centers for Disease Control - NCHHSTP,1,1,1
Centers for Disease Control and Prevention - ERA,5,3,1
DOC NOAA - ERA Production,3,0,0
DOT Federal Highway Administration,1,0,0
Democratic Republic of the Congo USAID-Kinshasa,3,0,0
Department of Education,0,1,0
Department of Housing and Urban Development,0,1,0
Dept. of the Army -- USAMRAA,15,0,0
Employment and Training Administration,1,0,0
Fort Worth District,0,1,0
Ghana USAID-Accra,1,0,0
Golden Field Office,0,2,0
Guinea USAID-Conakry,1,0,0
Health Resources and Services Administration,2,2,0
Homeless Providers Grant and Per Diem Program,1,0,0
Institute of Museum and Library Services,0,1,0
Minority Business Development Agency,1,0,0
National Archives and Records Administration,0,2,0
National Endowment for the Humanities,0,2,0
National Institutes of Health,10,1,0
National Park Service,0,1,0
National Science Foundation,2,2,0
Naval Facilities Engineering Command Southwest,0,1,0
Naval Research Laboratory,0,1,0
Office for Victims of Crime,1,0,0
Office of Naval Research,0,1,0
Office of Science,1,0,0
Office of the Assistant Secretary for Health,1,0,0
Office on Violence Against Women,2,0,0
South Africa USAID-Pretoria,3,0,0
Substance Abuse and Mental Health Services Adminis,1,1,0
U.S. Mission to ASEAN,1,0,0
U.S. Mission to Angola,1,0,0
U.S. Mission to Argentina,1,0,0
U.S. Mission to Bangladesh,1,0,0
U.S. Mission to Barbados,1,0,0
U.S. Mission to Belgium,1,0,0
U.S. Mission to Bosnia and Herzegovina,1,0,0
U.S. Mission to Botswana,2,0,0
U.S. Mission to Cameroon,1,0,0
U.S. Mission to Canada,1,0,0
U.S. Mission to El Salvador,1,0,0
U.S. Mission to Ethiopia,2,0,0
U.S. Mission to Georgia,1,0,0
U.S. Mission to Guatemala,1,0,0
U.S. Mission to Italy,1,0,0
U.S. Mission to Luxembourg,1,0,0
U.S. Mission to Mauritius,1,0,0
U.S. Mission to NATO,1,0,0
U.S. Mission to Namibia,1,0,0
U.S. Mission to Niger,3,0,0
U.S. Mission to Qatar,2,0,0
U.S. Mission to Rwanda,1,0,0
U.S. Mission to Slovakia,1,0,0
U.S. Mission to South Africa,1,0,0
U.S. Mission to South Korea,3,0,0
U.S. Mission to Sri Lanka,1,0,0
U.S. Mission to Sudan,2,0,0
U.S. Mission to Suriname,1,0,0
U.S. Mission to Tajikistan,1,0,0
U.S. Mission to Togo,2,0,0
U.S. Mission to Tunisia,2,0,0
U.S. Mission to Turkmenistan,1,0,0
U.S. Mission to Uganda,0,1,0
U.S. Mission to United Arab Emirates,1,0,0
U.S. Mission to Zimbabwe,1,0,0
U.S. Mission to the Bahamas,1,0,0
U.S. Mission to the Democratic Republic of Congo,2,0,0
U.S. Mission to the Philippines,1,0,0
Womens Bureau,1,0,0
