OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,CATEGORY OF FUNDING ACTIVITY,FUNDING CATEGORY EXPLANATION,FUNDING INSTRUMENT TYPE,ASSISTANCE LISTINGS,ESTIMATED TOTAL FUNDING,EXPECTED NUMBER OF AWARDS,AWARD CEILING,AWARD FLOOR,COST SHARING / MATCH REQUIREMENT,LINK TO ADDITIONAL INFORMATION,GRANTOR CONTACT,GRANTOR CONTACT PHONE,GRANTOR CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION,OPPORTUNITY STATUS,OPPORTUNITY PACKAGE,SYNOPSIS ARCHIVED,FUNDING DESCRIPTION,ELIGIBLE APPLICANTS,funding_description_lower,keyword_women,keyword_black
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355904"",""RFA-PS-25-113"")","Develop and Test HIV Prevention Interventions for Black and Hispanic Gay, Bisexual, and Other Men Who Have Sex with Men Who Use Substances",HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,Health,,Cooperative Agreement,"93.084 - Prevention of Disease, Disability, and Death by Infectious Diseases",2850000.0,2.0,475000,350000,No,,"Jocelyn Patterson Mosley
JPatterson@cdc.gov",,JPatterson@cdc.gov,,,2024-12-16,02/20/2025,Dec-16-2024 02:42:32 PM EST,Synopsis 1,Archived,Yes,Yes,"The purpose of this Notice of Funding Opportunity (NOFO) is to support pilot research to develop and test behavioral implementation strategies for biomedical interventions (e.g., oral PrEP, condoms) to improve HIV and STI prevention implementation among disproportionately affected populations, especially Black/African American (Black) and Hispanic/Latino (Hispanic) gay, bisexual, and other men who have sex with men (MSM) without HIV who report substance use (drug or alcohol). The study design and sample size should meet minimum requirements for consideration of the CDC Compendium of Best Evidence (https://www.cdc.gov/hivpartners/php/compendium/) and thus may have the potential for future CDC HIV prevention funding implementation in jurisdictions around the United States. The applicants should have access to research participants in priority jurisdictions outlined in Ending the HIV Epidemic in the United States (EHE), in support of the goals of EHE (Ending the HIV Epidemic in the US (EHE) | EHE Initiative | CDC), the HIV National Strategic Plan for the United States: A Roadmap to End the HIV Epidemic (2021-2025) (https://www.cdc.gov/nchhstp/media/pdfs/2024/08/hiv-national-strategic-plan-2021-2025.pdf), and other federal prevention planning efforts.","State governments; County governments; City or township governments; Special district governments; Independent school districts; Public and State controlled institutions of higher education; Native American tribal governments (Federally recognized); Public housing authorities/Indian housing authorities; Native American tribal organizations (other than Federally recognized tribal governments); Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education; For profit organizations other than small businesses","the purpose of this notice of funding opportunity (nofo) is to support pilot research to develop and test behavioral implementation strategies for biomedical interventions (e.g., oral prep, condoms) to improve hiv and sti prevention implementation among disproportionately affected populations, especially black/african american (black) and hispanic/latino (hispanic) gay, bisexual, and other men who have sex with men (msm) without hiv who report substance use (drug or alcohol). the study design and sample size should meet minimum requirements for consideration of the cdc compendium of best evidence (https://www.cdc.gov/hivpartners/php/compendium/) and thus may have the potential for future cdc hiv prevention funding implementation in jurisdictions around the united states. the applicants should have access to research participants in priority jurisdictions outlined in ending the hiv epidemic in the united states (ehe), in support of the goals of ehe (ending the hiv epidemic in the us (ehe) | ehe initiative | cdc), the hiv national strategic plan for the united states: a roadmap to end the hiv epidemic (2021-2025) (https://www.cdc.gov/nchhstp/media/pdfs/2024/08/hiv-national-strategic-plan-2021-2025.pdf), and other federal prevention planning efforts.",False,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355903"",""RFA-PS-25-112"")",PEP Packs: Postexposure Prophylaxis Packs for Immediate Access to HIV and Sexually Transmitted Infection Prevention,HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,Health,,Cooperative Agreement,"93.084 - Prevention of Disease, Disability, and Death by Infectious Diseases",4800000.0,1.0,1200000,900000,No,,"Jocelyn Patterson Mosley
JPatterson@cdc.gov",,JPatterson@cdc.gov,,,2024-12-13,02/19/2025,Dec-13-2024 03:17:21 PM EST,Synopsis 1,Archived,Yes,Yes,"The purpose of this notice of funding opportunity (NOFO) is to support an implementation research study. In this study, optimal strategies will be assessed for a postexposure prophylaxis (PEP) in pocket (PiP) approach for prevention of HIV and sexually transmitted infections (STIs) among disproportionately affected populations, for example, gay, bisexual, and other men who have sex with men (MSM) and transgender women (TGW). The recipient will implement and evaluate a comprehensive strategy to integrate PEP packs as a component of existing PrEP and STI clinical services. PEP packs will include a supply of antiretroviral medication for nonoccupational PEP (nPEP), doxycycline for STI PEP (DoxyPEP), HIV and STI self-test kits, and instruction materials. Study clinics should be in communities with high rates of HIV diagnoses among disproportionately affected populations, for example, Black and Hispanic MSM and TGW.","State governments; County governments; City or township governments; Special district governments; Independent school districts; Public and State controlled institutions of higher education; Native American tribal governments (Federally recognized); Public housing authorities/Indian housing authorities; Native American tribal organizations (other than Federally recognized tribal governments); Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education; For profit organizations other than small businesses; Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","the purpose of this notice of funding opportunity (nofo) is to support an implementation research study. in this study, optimal strategies will be assessed for a postexposure prophylaxis (pep) in pocket (pip) approach for prevention of hiv and sexually transmitted infections (stis) among disproportionately affected populations, for example, gay, bisexual, and other men who have sex with men (msm) and transgender women (tgw). the recipient will implement and evaluate a comprehensive strategy to integrate pep packs as a component of existing prep and sti clinical services. pep packs will include a supply of antiretroviral medication for nonoccupational pep (npep), doxycycline for sti pep (doxypep), hiv and sti self-test kits, and instruction materials. study clinics should be in communities with high rates of hiv diagnoses among disproportionately affected populations, for example, black and hispanic msm and tgw.",True,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355369"",""HRSA-25-039"")",Black Lung Data and Resource Center,HHS-HRSA,Health Resources and Services Administration,Health,https://grants.hrsa.gov/2010/Web2External/Interface/FundingCycle/ExternalView.aspx?fCycleID=361383b4-1608-483d-880f-77c863ebb615,Cooperative Agreement,93.965 - Coal Miners Respiratory Impairment Treatment Clinics and Services,135000.0,1.0,135000,0,No,,"Department of Health and Human Services, Health Resources and Services Administration
blacklung@hrsa.gov",,blacklung@hrsa.gov,,,2024-12-12,02/11/2025,Dec-12-2024 02:39:57 PM EST,Synopsis 1,Closed,Yes,No,"The purpose of the Black Lung Data and Resource Center (BLDRC) program is to improve health care in rural areas by supporting patient-level data collection and analysis, clinic operations, and the quality and breadth of services provided by recipients of Black Lung Clinics Program (BLCP) funding. For the purposes of this Notice of Funding Opportunity, BLCP award recipients are referred to as BLCP recipients. Additional details about the program requirements and expectations for BLCP recipients can be found in HRSA-25-040.
 Our goal is to strengthen BLCP recipients’ ability to examine and treat respiratory diseases and pulmonary impairments in active and inactive U.S. coal miners. To that end, the BLDRC provides programmatic assistance and resources to help BLCP recipients use data analysis to better understand the health status and needs of U.S. coal miners. BLDRC support and data analysis contributes to advancing evidence-based models of health care for rural health care providers, including BLCP recipients and other health care providers serving rural populations.
 The BLDRC will work with BLCP recipients and stakeholders to address long-standing challenges and barriers to medical, outreach, educational, and benefits counseling services for U.S. coal miners. The BLDRC will also help collect and analyze information on the demographics and clinical status of coal miners with Coal Mine Dust Lung Diseases (CMDLD), or black lung diseases, especially Coal Workers Pneumoconiosis (CWP) and its most severe form, Progressive Massive Fibrosis (PMF). The BLDRC supports BLCP recipients, including rural health providers, in discerning effective methods to address challenges, analyzing best practices, and informing lessons learned that translate across rural and non-rural health care settings. These methods also expand and further enhance support for health care delivery in rural areas.","State governments; County governments; City or township governments; Special district governments; Independent school districts; Public and State controlled institutions of higher education; Native American tribal governments (Federally recognized); Native American tribal organizations (other than Federally recognized tribal governments); Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education; For profit organizations other than small businesses; Small businesses; Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","the purpose of the black lung data and resource center (bldrc) program is to improve health care in rural areas by supporting patient-level data collection and analysis, clinic operations, and the quality and breadth of services provided by recipients of black lung clinics program (blcp) funding. for the purposes of this notice of funding opportunity, blcp award recipients are referred to as blcp recipients. additional details about the program requirements and expectations for blcp recipients can be found in hrsa-25-040.
 our goal is to strengthen blcp recipients’ ability to examine and treat respiratory diseases and pulmonary impairments in active and inactive u.s. coal miners. to that end, the bldrc provides programmatic assistance and resources to help blcp recipients use data analysis to better understand the health status and needs of u.s. coal miners. bldrc support and data analysis contributes to advancing evidence-based models of health care for rural health care providers, including blcp recipients and other health care providers serving rural populations.
 the bldrc will work with blcp recipients and stakeholders to address long-standing challenges and barriers to medical, outreach, educational, and benefits counseling services for u.s. coal miners. the bldrc will also help collect and analyze information on the demographics and clinical status of coal miners with coal mine dust lung diseases (cmdld), or black lung diseases, especially coal workers pneumoconiosis (cwp) and its most severe form, progressive massive fibrosis (pmf). the bldrc supports blcp recipients, including rural health providers, in discerning effective methods to address challenges, analyzing best practices, and informing lessons learned that translate across rural and non-rural health care settings. these methods also expand and further enhance support for health care delivery in rural areas.",False,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355370"",""HRSA-25-040"")",Black Lung Clinics Program,HHS-HRSA,Health Resources and Services Administration,Health,https://grants.hrsa.gov/2010/Web2External/Interface/FundingCycle/ExternalView.aspx?fCycleID=66914450-4f02-42ba-8cfa-bb8b9dd7fd10,Grant,93.965 - Coal Miners Respiratory Impairment Treatment Clinics and Services,12000000.0,15.0,0,0,No,,"Department of Health and Human Services, Health Resources and Services Administration
BlackLung@hrsa.gov",,BlackLung@hrsa.gov,,,2024-12-12,02/11/2025,Dec-12-2024 02:53:07 PM EST,Synopsis 1,Closed,Yes,No,"The Black Lung Clinic Program’s primary goal is to reduce the morbidity and mortality associated with occupation related coal mine dust lung disease (CMDLD), also known as black lung disease, by providing:
 •Medical services.
 •Outreach services.
 •Educational services.
 •Benefits counseling services.
 All recipients are required to provide certain services to coal miners in their service area. We also provide additional requirements to the minimum required services, to make sure that the quality and breadth of services coal miners receive is sustained in all service areas.","State governments; County governments; City or township governments; Special district governments; Independent school districts; Public and State controlled institutions of higher education; Native American tribal governments (Federally recognized); Native American tribal organizations (other than Federally recognized tribal governments); Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education; For profit organizations other than small businesses; Small businesses; Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","the black lung clinic program’s primary goal is to reduce the morbidity and mortality associated with occupation related coal mine dust lung disease (cmdld), also known as black lung disease, by providing:
 •medical services.
 •outreach services.
 •educational services.
 •benefits counseling services.
 all recipients are required to provide certain services to coal miners in their service area. we also provide additional requirements to the minimum required services, to make sure that the quality and breadth of services coal miners receive is sustained in all service areas.",False,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/357640"",""EDITIONS-202511"")",Publishing Historical Records in Collaborative Digital Editions,NARA,National Archives and Records Administration,Humanities,,Grant,89.003 - National Historical Publications and Records Grants,2600000.0,21.0,125000,1,No,https://www.archives.gov/nhprc/announcement/editions.html,"Julie Fisher
julie.fisher@nara.gov",,julie.fisher@nara.gov,,,2024-12-11,11/05/2025,Dec-11-2024 06:32:51 AM EST,Synopsis 2,Posted,Yes,No,"The National Historical Publications and Records Commission seeks proposals to publish online editions of historical records. All types of historical records are eligible, including documents, photographs, born-digital records, and analog audio. Projects may focus on broad historical movements in U.S. history, such as law (including the social and political history of the law), politics, social reform, business, military, the arts, and other aspects of the national experience.

Projects that center the voices and document the history of Black, Indigenous, and People of Color are especially welcome.","State governments; County governments; City or township governments; Public and State controlled institutions of higher education; Native American tribal governments (Federally recognized); Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education","the national historical publications and records commission seeks proposals to publish online editions of historical records. all types of historical records are eligible, including documents, photographs, born-digital records, and analog audio. projects may focus on broad historical movements in u.s. history, such as law (including the social and political history of the law), politics, social reform, business, military, the arts, and other aspects of the national experience.

projects that center the voices and document the history of black, indigenous, and people of color are especially welcome.",False,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353676"",""20250409-HB"")",Awards for Faculty,NEH,National Endowment for the Humanities,Humanities,,Grant,45.160 - Promotion of the Humanities Fellowships and Stipends,1500000.0,22.0,60000,10000,No,https://www.neh.gov/divisions/research,"Division of Research Programs
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8200
FacultyAwards@neh.gov",,FacultyAwards@neh.gov,,,2024-12-04,04/09/2025,Mar-28-2025 11:07:23 AM EST,Synopsis 10,Closed,Yes,No,"The National Endowment for the Humanities (NEH) Division of Research Programs is accepting applications for the Awards for Faculty at Hispanic-Serving Institutions (HSIs), Historically Black Colleges and Universities (HBCUs), and Tribal Colleges and Universities (TCUs) programs. These programs strengthen the humanities at HBCUs, HSIs, and TCUs by encouraging and expanding humanities research opportunities for individual faculty and staff members. Awards support individuals pursuing scholarly research that is of value to humanities scholars, students, and/or general audiences.",Individuals,"the national endowment for the humanities (neh) division of research programs is accepting applications for the awards for faculty at hispanic-serving institutions (hsis), historically black colleges and universities (hbcus), and tribal colleges and universities (tcus) programs. these programs strengthen the humanities at hbcus, hsis, and tcus by encouraging and expanding humanities research opportunities for individual faculty and staff members. awards support individuals pursuing scholarly research that is of value to humanities scholars, students, and/or general audiences.",False,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/357393"",""EDITIONS-202505"")",Publishing Historical Records in Collaborative Digital Editions,NARA,National Archives and Records Administration,Humanities,,Grant,89.003 - National Historical Publications and Records Grants,2600000.0,21.0,125000,1,No,https://www.archives.gov/nhprc/announcement/editions.html,"Julie Fisher
julie.fisher@nara.gov",,julie.fisher@nara.gov,,,2024-11-26,05/07/2025,Nov-26-2024 04:04:21 PM EST,Synopsis 2,Posted,Yes,No,"The National Historical Publications and Records Commission seeks proposals to publish online editions of historical records. All types of historical records are eligible, including documents,
photographs, born-digital records, and analog audio. Projects may focus on broad historical movements in U.S. history, such as law (including the social and political history of the law), politics, social reform, business, military, the arts, and other aspects of the national experience. Projects that center the voices and document the history of Black, Indigenous, and People of Color are especially welcome.

Opportunities for FY2026 are limited to current and previously funded projects in the Publishing Historical Records in Collaborative Digital Editions and Mellon Planning Grants for Collaborative Digital Editions in African American, Asian American, Hispanic American, and Native American
History and Ethnic Studies programs. Due to funding constraints, the program is not accepting proposals from new projects for FY2026.","State governments; County governments; City or township governments; Public and State controlled institutions of higher education; Native American tribal governments (Federally recognized); Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education","the national historical publications and records commission seeks proposals to publish online editions of historical records. all types of historical records are eligible, including documents,
photographs, born-digital records, and analog audio. projects may focus on broad historical movements in u.s. history, such as law (including the social and political history of the law), politics, social reform, business, military, the arts, and other aspects of the national experience. projects that center the voices and document the history of black, indigenous, and people of color are especially welcome.

opportunities for fy2026 are limited to current and previously funded projects in the publishing historical records in collaborative digital editions and mellon planning grants for collaborative digital editions in african american, asian american, hispanic american, and native american
history and ethnic studies programs. due to funding constraints, the program is not accepting proposals from new projects for fy2026.",False,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/357095"",""P24AS00547"")",FY2024 Historic Preservation Fund - Historically Black Colleges and Universities Grants,DOI-NPS,National Park Service,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",Historic Preservation,Grant,15.932 - Preservation of Historic Structures on the Campuses of Historically Black Colleges and Universities (HBCUs).,11000000.0,,750000,50000,No,,"STLPG Staff
STLPG@nps.gov",,STLPG@nps.gov,,,2024-11-13,01/28/2025,Nov-13-2024 01:04:40 PM EST,Synopsis 1,Closed,Yes,No,"In 1988, the Historically Black Colleges and Universities (HBCU) Preservation grant program was established to document, preserve, and stabilize historic structures on HBCU campuses. Historic resources on campuses of accredited Historically Black Colleges and Universities that are listed or eligible for listing in the National Register of Historic Places either individually or as contributing to a National Register or National Historic Landmark historic district are eligible for this program. Projects must meet major program selection criteria and all work must follow the Secretary of the Interior’s Standards and Guidelines for Archeology and Historic Preservation.  Projects may also fund survey, nomination, and preservation planning for historic HBCU campuses.",Public and State controlled institutions of higher education; Private institutions of higher education,"in 1988, the historically black colleges and universities (hbcu) preservation grant program was established to document, preserve, and stabilize historic structures on hbcu campuses. historic resources on campuses of accredited historically black colleges and universities that are listed or eligible for listing in the national register of historic places either individually or as contributing to a national register or national historic landmark historic district are eligible for this program. projects must meet major program selection criteria and all work must follow the secretary of the interior’s standards and guidelines for archeology and historic preservation.  projects may also fund survey, nomination, and preservation planning for historic hbcu campuses.",False,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356842"",""DOS-PDS-FY25-01"")",Celebrating the Contribution of African Food to American Cuisine,DOS-UGA,U.S. Mission to Uganda,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",Public Diplomacy,Cooperative Agreement,19.040 - Public Diplomacy Programs,20000.0,1.0,20000,10000,No,,"Mission Uganda Public Diplomacy Grants Management Team
Grantor
Phone 256414306001",,kampalagrants@state.gov,,,2024-10-25,11/30/2024,Oct-25-2024 02:43:37 AM EST,Synopsis 1,Archived,Yes,Yes,"The U.S. Embassy in Uganda will host a culinary diplomacy program titled “Celebrating the Contribution of African Food to American Cuisine,” to celebrate Black History Month 2025, and invites organizations to submit applications for its implementation. The program will engage 75-100 Ugandan chefs, culinary students, and food industry professionals through advanced culinary workshops led by visiting American culinary expert Tanya Holland. It will culminate in a fusion banquet that highlights the historical and cultural connections between African and American food traditions. Key activities will take place at prominent hospitality venues, including the Uganda Hotel and Tourism Training Institute (UHTTI) in Jinja and select locations in Kampala. The program aims to address both cultural and economic challenges within Uganda’s hospitality industry by fostering the development of local talent and creating career advancement opportunities for Ugandan chefs in an industry largely dominated by foreign professionals. By offering hands-on training with a focus on American cuisine, particularly Southern traditions rooted in African heritage, the program seeks to enhance culinary skills and inspire innovation in Uganda’s food sector. Applicants must demonstrate how they will integrate the expertise of the American culinary professional into Uganda’s culinary space while promoting economic growth and empowering Ugandan chefs to succeed locally and internationally.  ","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","the u.s. embassy in uganda will host a culinary diplomacy program titled “celebrating the contribution of african food to american cuisine,” to celebrate black history month 2025, and invites organizations to submit applications for its implementation. the program will engage 75-100 ugandan chefs, culinary students, and food industry professionals through advanced culinary workshops led by visiting american culinary expert tanya holland. it will culminate in a fusion banquet that highlights the historical and cultural connections between african and american food traditions. key activities will take place at prominent hospitality venues, including the uganda hotel and tourism training institute (uhtti) in jinja and select locations in kampala. the program aims to address both cultural and economic challenges within uganda’s hospitality industry by fostering the development of local talent and creating career advancement opportunities for ugandan chefs in an industry largely dominated by foreign professionals. by offering hands-on training with a focus on american cuisine, particularly southern traditions rooted in african heritage, the program seeks to enhance culinary skills and inspire innovation in uganda’s food sector. applicants must demonstrate how they will integrate the expertise of the american culinary professional into uganda’s culinary space while promoting economic growth and empowering ugandan chefs to succeed locally and internationally.  ",False,True
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354172"",""20250203-HBI"")",Awards for Faculty Institutional Support – HBCUs and TCUs,NEH,National Endowment for the Humanities,Humanities,,Grant,45.161 - Promotion of the Humanities Research,90000.0,3.0,30000,1,No,https://www.neh.gov/program/awards-faculty-institutional-support-hbcus-and-tcus,"Division of Research Programs
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
facultyawards@neh.gov",,facultyawards@neh.gov,,,2024-10-04,05/01/2025,Feb-24-2025 12:45:22 PM EST,Synopsis 3,Posted,Yes,No,"This limited competition supports institutions that have one or more faculty or staff member(s) who have been awarded an NEH Awards for Faculty at Historically Black Colleges and Universities (HBCU) or an NEH Awards for Faculty at Tribal Colleges and Universities (TCU) fellowship in federal fiscal year 2025.

This program strengthens the capacity of HBCUs and TCUs to support humanities research on their campuses through funding for replacement instructors. NEH will provide funding at a fixed rate of $2,500 per month (full-time equivalent), up to $30,000. The fixed rate is pro-rated to correspond to the Awards for Faculty fellow’s NEH period of performance and regular institutional load.",Public and State controlled institutions of higher education; Private institutions of higher education,"this limited competition supports institutions that have one or more faculty or staff member(s) who have been awarded an neh awards for faculty at historically black colleges and universities (hbcu) or an neh awards for faculty at tribal colleges and universities (tcu) fellowship in federal fiscal year 2025.

this program strengthens the capacity of hbcus and tcus to support humanities research on their campuses through funding for replacement instructors. neh will provide funding at a fixed rate of $2,500 per month (full-time equivalent), up to $30,000. the fixed rate is pro-rated to correspond to the awards for faculty fellow’s neh period of performance and regular institutional load.",False,True
