OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,CATEGORY OF FUNDING ACTIVITY,FUNDING CATEGORY EXPLANATION,FUNDING INSTRUMENT TYPE,ASSISTANCE LISTINGS,ESTIMATED TOTAL FUNDING,EXPECTED NUMBER OF AWARDS,AWARD CEILING,AWARD FLOOR,COST SHARING / MATCH REQUIREMENT,LINK TO ADDITIONAL INFORMATION,GRANTOR CONTACT,GRANTOR CONTACT PHONE,GRANTOR CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION,OPPORTUNITY STATUS,OPPORTUNITY PACKAGE,SYNOPSIS ARCHIVED,FUNDING DESCRIPTION,ELIGIBLE APPLICANTS,funding_description_lower,keyword_women,keyword_black
"=HYPERLINK(""https://www.grants.gov/search-results-detail/358215"",""BH-001-FY2025"")",WOMEN’S EMPOWERMENT SMALL GRANTS PROGRAM,DOS-BIH,U.S. Mission to Bosnia and Herzegovina,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)","•Advancing women’s participation in the economic life of BiH in business, the arts, law, education, healthcare, science, and other sectors. (Proposals may not include vocational training.)
•Advancing women’s participation in politics and amplifying women’s voices and leadership on issues that affect citizens of BiH.
•Increasing the potential of girls and young women to become leaders in their schools, communities, and country.
•Preventing gender-based violence and all other forms of mistreatment of women, such as sexual harassment and workplace discrimination; strengthening support from institutions and civil society to victims of gender-based violence and discrimination. 
•Organizing grassroots projects that help strengthen civil society, connect women across social divides, and improve the quality of life for women in their communities and across BiH.",Grant,19.900 - AEECA/ESF PD Programs,275000.0,6.0,50000,1000,No,,"Edin Gurda
PDS Resources Assistant
Phone 0038733704000",,GurdaE@state.gov,,,2025-01-15,01/27/2025,Jan-28-2025 03:14:19 AM EST,Synopsis 2,Archived,No,Yes,"This program supports NGO efforts to enable women as equal participants in economic, civic, and political life in Bosnia and Herzegovina (BiH). Proposals that go beyond awareness building to promote action or create behavior change or institutional change will be particularly competitive. We also encourage proposals that build solidarity among women from different cities, political parties, or ethnic groups, and that support vulnerable and marginalized women in BiH.","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","this program supports ngo efforts to enable women as equal participants in economic, civic, and political life in bosnia and herzegovina (bih). proposals that go beyond awareness building to promote action or create behavior change or institutional change will be particularly competitive. we also encourage proposals that build solidarity among women from different cities, political parties, or ethnic groups, and that support vulnerable and marginalized women in bih.",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/358216"",""MBDA-OBC-2025-1002156"")",MBDA Women’s Entrepreneurship Program,DOC-MBDA,Minority Business Development Agency,Science and Technology and other Research and Development,,Cooperative Agreement,11.802 - Minority Business Resource Development,,10.0,none,none,No,,"Nakita Chambers
Grantor
nchambers2@mbda.gov",,nchambers2@mbda.gov,,,2025-01-15,02/03/2025,Feb-03-2025 03:56:22 PM EST,Synopsis 5,Archived,Yes,Yes,"The MBDA Women’s Entrepreneurship Program (Program or WEP) is designed to improve the entrepreneurial outcomes of MBEs, including entrepreneurs at all stages of business development, from ideation to established businesses. While MBDA encourages applicants to include in their proposal services that address barriers traditionally experienced by women entrepreneurs, all MBEs are eligible to receive services under this Program. This notice requests applications from qualified organizations that have the expertise to provide a range of services including counseling, training, and technical assistance to launch, sustain, obtain capital for, and scale their ventures.  ","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","the mbda women’s entrepreneurship program (program or wep) is designed to improve the entrepreneurial outcomes of mbes, including entrepreneurs at all stages of business development, from ideation to established businesses. while mbda encourages applicants to include in their proposal services that address barriers traditionally experienced by women entrepreneurs, all mbes are eligible to receive services under this program. this notice requests applications from qualified organizations that have the expertise to provide a range of services including counseling, training, and technical assistance to launch, sustain, obtain capital for, and scale their ventures.  ",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/358180"",""PDS-GUA-FY25-02"")",Academy for Women Entrepreneurs-AWE,DOS-GTM,U.S. Mission to Guatemala,"Employment, Labor and Training",,Grant,19.040 - Public Diplomacy Programs,150000.0,10.0,150000,10000,No,Related documents,"PDS Guatemala
Grantor
Phone 502-2354-0000",,gtm-pasgrants@state.gov,,,2025-01-13,01/31/2025,Jan-13-2025 04:44:23 PM EST,Synopsis 1,Archived,No,Yes,"The U.S. Embassy in Guatemala’s Public Diplomacy Section is dedicated to empowering women in the Guatemalan economy through entrepreneurship. The White House-led Women’s Global Development and Prosperity (W-GDP) initiative is designed to empower women worldwide to fulfill their economic potential and, in doing so, create conditions for increased stability, security, and prosperity for all. The target is to reach 50 million women by 2025 by promoting an enabling environment that reduces barriers and facilitates women’s participation in the economy.  

The U.S. Diplomatic Mission in Guatemala’s Public Diplomacy Section will pilot this hybrid version of AWE in twelve departments (San Marcos, Quetzaltenango, Huehuetenango, Quiche, Totonicapán, Chimaltenango, Sololá, Sacatepéquez, Guatemala, Chiquimula, Cobán and Izabal) to help 420 women expand and grow their businesses. We are seeking a reliable implementing organization that works with training and/or entrepreneurship, and which has a national scope in Guatemala. Guatemalan-based and U.S.-based organizations who works with a Guatemalan partner or a Guatemalan organization that can organize a virtual or hybrid program of this scope will be considered. The implementing partner will be expected to support AWE from development through graduation and beyond. The training program will be done in 14 small-group-facilitated sessions using the Spanish version of the Dream Builder platform. Guatemala AWE 2026 Program will be delivered to 420 Guatemalan women entrepreneurs (See Program Design). ECA will provide the training for AWE implementers and program facilitators. The implementing organization will be responsible for customizing all of the program components and developing enrichment activities to fit the practical realities of the country. ","Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education","the u.s. embassy in guatemala’s public diplomacy section is dedicated to empowering women in the guatemalan economy through entrepreneurship. the white house-led women’s global development and prosperity (w-gdp) initiative is designed to empower women worldwide to fulfill their economic potential and, in doing so, create conditions for increased stability, security, and prosperity for all. the target is to reach 50 million women by 2025 by promoting an enabling environment that reduces barriers and facilitates women’s participation in the economy.  

the u.s. diplomatic mission in guatemala’s public diplomacy section will pilot this hybrid version of awe in twelve departments (san marcos, quetzaltenango, huehuetenango, quiche, totonicapán, chimaltenango, sololá, sacatepéquez, guatemala, chiquimula, cobán and izabal) to help 420 women expand and grow their businesses. we are seeking a reliable implementing organization that works with training and/or entrepreneurship, and which has a national scope in guatemala. guatemalan-based and u.s.-based organizations who works with a guatemalan partner or a guatemalan organization that can organize a virtual or hybrid program of this scope will be considered. the implementing partner will be expected to support awe from development through graduation and beyond. the training program will be done in 14 small-group-facilitated sessions using the spanish version of the dream builder platform. guatemala awe 2026 program will be delivered to 420 guatemalan women entrepreneurs (see program design). eca will provide the training for awe implementers and program facilitators. the implementing organization will be responsible for customizing all of the program components and developing enrichment activities to fit the practical realities of the country. ",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/358110"",""FOA-ETA-25-29"")",Pathway Home 6,DOL-ETA,Employment and Training Administration,"Employment, Labor and Training",,Grant,17.270 - Reentry Employment Opportunities,25000000.0,9.0,4000000,500000,No,,"Shanell McNamee
PH6_FOA-ETA-25-29@dol.gov",,PH6_FOA-ETA-25-29@dol.gov,,,2025-01-10,03/14/2025,Mar-03-2025 03:46:16 PM EST,Synopsis 6,Closed,Yes,No,"This Funding Opportunity Announcement solicits applications for Pathway Home 6 grants.  ETA plans to award $25 million in an estimated 9 grants up to $4 million each.  The purpose of this program is to provide eligible incarcerated individuals in men’s and women’s state correctional facilities or local or county jails with workforce services prior to release and to continue services after release by transitioning the participants into reentry programs in the communities to which they will return.  By providing for reentry services to begin while participants are still incarcerated and to continue post-release, these projects are designed to eliminate the time gap between release from prison and enrollment into a workforce development reentry program leading to skills-based employment, to improve individuals’ transition back into their communities, and to reduce recidivism.   Questions regarding this Funding Opportunity Announcement (FOA) may be emailed to PH6_FOA-ETA-25-29@dol.gov.  We encourage prospective applicants and interested parties to use the Grants.gov subscription option to register for future updates provided for this particular FOA.","State governments; County governments; City or township governments; Native American tribal governments (Federally recognized); Native American tribal organizations (other than Federally recognized tribal governments); Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education","this funding opportunity announcement solicits applications for pathway home 6 grants.  eta plans to award $25 million in an estimated 9 grants up to $4 million each.  the purpose of this program is to provide eligible incarcerated individuals in men’s and women’s state correctional facilities or local or county jails with workforce services prior to release and to continue services after release by transitioning the participants into reentry programs in the communities to which they will return.  by providing for reentry services to begin while participants are still incarcerated and to continue post-release, these projects are designed to eliminate the time gap between release from prison and enrollment into a workforce development reentry program leading to skills-based employment, to improve individuals’ transition back into their communities, and to reduce recidivism.   questions regarding this funding opportunity announcement (foa) may be emailed to ph6_foa-eta-25-29@dol.gov.  we encourage prospective applicants and interested parties to use the grants.gov subscription option to register for future updates provided for this particular foa.",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/358144"",""NOAA-OAR-TPO-2025-0002"")",Small Business Innovation Research FY2025 Phase II,DOC-DOCNOAAERA,DOC NOAA - ERA Production,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",Small Businesses -for profits,Grant,11.021 - NOAA Small Business Innovation Research (SBIR) Program,12000000.0,15.0,690000,0,No,,"The SBIR Team
noaa.sbir@noaa.gov
Subject Line-NOAA-OAR-TPO-2025-0002",,noaa.sbir@noaa.gov,,,2025-01-10,03/31/2025,Mar-17-2025 03:40:32 PM EST,Synopsis 4,Archived,Yes,Yes,"The Small Business Innovation Research (SBIR) program was originally established in 1982 by the Small Business
Innovation Development Act (P.L. 97-219), codified at 15 U.S.C. § 638. It was then expanded and extended by the
Small Business Research and Development Enhancement Act of 1992 (P.L. 102-564) and received subsequent
reauthorization and extensions, the most recent of which extends the SBIR program through 2025. (P.L.
117-183).
Each Federal agency with an extramural budget for Research/Research and Development (R/R&D) in excess of
$100,000,000 must participate in the SBIR program and spend (obligate) a minimum percentage of their
extramural R/R&D budgets (obligations) of not less than 3.2% of such budget in fiscal year 2017 and for the
percentage required by statute for each fiscal year after for awards to small business concerns (SBCs) for R/R&D
under the SBIR program. The objectives of the SBIR program are to: stimulate technological innovation in the
private sector; strengthen the role of small business in meeting Federal R&D needs; foster and encourage
participation by businesses owned by socially and economically disadvantaged persons and women-owned SBCs
in technological innovation; and increase private sector commercialization of innovations derived from federal
R&D funding.
To ensure compliance with Executive Order 14151, the Small Business Innovation Research (SBIR) Program Office is excluding statements and factors related to diversity, equity, inclusion, and accessibility (DEIA) from the evaluation of proposals received under the FY25 Notices of Funding Opportunity. Any DEIA-related application components are no longer required and, for proposals already submitted, will be disregarded in the scoring and selection of proposals.

",Small businesses,"the small business innovation research (sbir) program was originally established in 1982 by the small business
innovation development act (p.l. 97-219), codified at 15 u.s.c. § 638. it was then expanded and extended by the
small business research and development enhancement act of 1992 (p.l. 102-564) and received subsequent
reauthorization and extensions, the most recent of which extends the sbir program through 2025. (p.l.
117-183).
each federal agency with an extramural budget for research/research and development (r/r&d) in excess of
$100,000,000 must participate in the sbir program and spend (obligate) a minimum percentage of their
extramural r/r&d budgets (obligations) of not less than 3.2% of such budget in fiscal year 2017 and for the
percentage required by statute for each fiscal year after for awards to small business concerns (sbcs) for r/r&d
under the sbir program. the objectives of the sbir program are to: stimulate technological innovation in the
private sector; strengthen the role of small business in meeting federal r&d needs; foster and encourage
participation by businesses owned by socially and economically disadvantaged persons and women-owned sbcs
in technological innovation; and increase private sector commercialization of innovations derived from federal
r&d funding.
to ensure compliance with executive order 14151, the small business innovation research (sbir) program office is excluding statements and factors related to diversity, equity, inclusion, and accessibility (deia) from the evaluation of proposals received under the fy25 notices of funding opportunity. any deia-related application components are no longer required and, for proposals already submitted, will be disregarded in the scoring and selection of proposals.

",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/358069"",""PDS-DOS-GEO-FY25-004"")",The Academy for Women Entrepreneurs (AWE),DOS-GEO,U.S. Mission to Georgia,Business and Commerce,,Grant,19.022 - Educational and Cultural Exchange Programs Appropriation Overseas Grants,,1.0,35000,35000,No,,"Grantor
Phone 995322277926",,tbilisigrants@state.gov,,,2025-01-08,01/20/2025,Jan-08-2025 12:19:33 AM EST,Synopsis 1,Archived,No,Yes,"The Public Diplomacy Section of the U.S. Embassy Tbilisi announces an open competition for not-for-profit organizations, and Individual alumni of all USG-funded or USG-sponsored exchange programs that are residents of Georgia to submit applications to carry out the 2025 Academy for Women Entrepreneurship (AWE) program. We are seeking the implementing partner that will serve as a liaison with U.S. Embassy Georgia and AWE stakeholders, lead implementation, facilitate communication with AWE participants, encourage their successful completion of the program, monitor and report on progress, promote the program with the public, and amplify the core goals of the initiative in supporting women and economic prosperity in Georgia. 
Those who are interested in implementing the 2025 AWE should submit a proposal package to tbilisigrants@state.gov by January 20, 2025, 11:59p.m. Applications submitted directly to ECA will not be considered. Please follow all instructions below.  

PROGRAM DESCRIPTION

The U.S. Department of State Bureau of Educational and Cultural Affairs (ECA) established the Academy for Women Entrepreneurs in 2019 to provide women with the knowledge, networks, and access they need to launch or scale successful businesses: https://eca.state.gov/awe  
By promoting women’s economic opportunities and ensuring that women have the capabilities and resources needed to participate in the economy, the AWE program directly supports the U.S. National Strategy on Gender Equity and Equality. 
AWE uses a hybrid model that combines the online platform DreamBuilder  (developed through a partnership between Arizona State University’s Thunderbird School of Global Management and global copper mining company Freeport-McMoRan) with online and/or in-class mentoring and facilitation. Through AWE, participants learn core business skills, then get together as a class to discuss the material with experienced implementers, local mentors, and U.S. Exchange Alumni. Partnerships with local NGOs, universities, and chambers of commerce offer women the opportunity to amplify their newly learned business skills and network with other businesspeople through speed mentoring, pitch competitions, and entrepreneurship fairs. Applicants may also use a new online curriculum, in whole or in part – the Najafi 100 Million Learners Global Initiative  – alongside or instead of DreamBuilder.
At a local level, AWE harnesses the power of public-private sponsors, local partnerships, and U.S. Exchange Alumni networks to help women and their businesses grow. By giving women the tools and the confidence they need, the AWE program is generating income and creating jobs in women-led businesses, driving local prosperity in more than 100 countries worldwide. 
Program Objectives:  

Provide resources for English-speaking female entrepreneurs of Georgia to engage in U.S-style online and/or in-person education with guided facilitation from USG exchange alumni, local business leaders, or other local partners. 
Foster networks that support participants’ access to peer-to-peer mentors, business partners, and scaling opportunities with businesses in the region and in the United States. 
Engage AWE alumni with volunteer, professional, and educational opportunities in ways to promote business expansion. 
Share lessons and practices from the United States with new businesses operating in the Georgian entrepreneurial ecosystems and prepare them for potential collaboration with U.S. clients, customers, and investors. The project also aims to empower women entrepreneurs in Georgia to fulfill their economic potential, and in doing so, create conditions for a more prosperous society.  

Participants and Audiences: 
Female entrepreneurs of Georgia ","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","the public diplomacy section of the u.s. embassy tbilisi announces an open competition for not-for-profit organizations, and individual alumni of all usg-funded or usg-sponsored exchange programs that are residents of georgia to submit applications to carry out the 2025 academy for women entrepreneurship (awe) program. we are seeking the implementing partner that will serve as a liaison with u.s. embassy georgia and awe stakeholders, lead implementation, facilitate communication with awe participants, encourage their successful completion of the program, monitor and report on progress, promote the program with the public, and amplify the core goals of the initiative in supporting women and economic prosperity in georgia. 
those who are interested in implementing the 2025 awe should submit a proposal package to tbilisigrants@state.gov by january 20, 2025, 11:59p.m. applications submitted directly to eca will not be considered. please follow all instructions below.  

program description

the u.s. department of state bureau of educational and cultural affairs (eca) established the academy for women entrepreneurs in 2019 to provide women with the knowledge, networks, and access they need to launch or scale successful businesses: https://eca.state.gov/awe  
by promoting women’s economic opportunities and ensuring that women have the capabilities and resources needed to participate in the economy, the awe program directly supports the u.s. national strategy on gender equity and equality. 
awe uses a hybrid model that combines the online platform dreambuilder  (developed through a partnership between arizona state university’s thunderbird school of global management and global copper mining company freeport-mcmoran) with online and/or in-class mentoring and facilitation. through awe, participants learn core business skills, then get together as a class to discuss the material with experienced implementers, local mentors, and u.s. exchange alumni. partnerships with local ngos, universities, and chambers of commerce offer women the opportunity to amplify their newly learned business skills and network with other businesspeople through speed mentoring, pitch competitions, and entrepreneurship fairs. applicants may also use a new online curriculum, in whole or in part – the najafi 100 million learners global initiative  – alongside or instead of dreambuilder.
at a local level, awe harnesses the power of public-private sponsors, local partnerships, and u.s. exchange alumni networks to help women and their businesses grow. by giving women the tools and the confidence they need, the awe program is generating income and creating jobs in women-led businesses, driving local prosperity in more than 100 countries worldwide. 
program objectives:  

provide resources for english-speaking female entrepreneurs of georgia to engage in u.s-style online and/or in-person education with guided facilitation from usg exchange alumni, local business leaders, or other local partners. 
foster networks that support participants’ access to peer-to-peer mentors, business partners, and scaling opportunities with businesses in the region and in the united states. 
engage awe alumni with volunteer, professional, and educational opportunities in ways to promote business expansion. 
share lessons and practices from the united states with new businesses operating in the georgian entrepreneurial ecosystems and prepare them for potential collaboration with u.s. clients, customers, and investors. the project also aims to empower women entrepreneurs in georgia to fulfill their economic potential, and in doing so, create conditions for a more prosperous society.  

participants and audiences: 
female entrepreneurs of georgia ",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/357952"",""AF-DRC-PDS-FY25-02"")",ACADEMY FOR WOMEN ENTREPRENEURS (AWE) 2025 DRC,DOS-COD,U.S. Mission to the Democratic Republic of Congo,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",Public Diplomacy,Cooperative Agreement,19.022 - Educational and Cultural Exchange Programs Appropriation Overseas Grants,35000.0,1.0,35000,35000,No,,Public Diplomacy Section/ Grants Team,,KinshasaPDGrants@state.gov,,,2024-12-31,02/17/2025,Dec-31-2024 10:40:17 AM EST,Synopsis 2,Archived,Yes,Yes,"The Academy for Women Entrepreneurs (AWE) program was established by the U.S. Department of State’s Bureau of Educational and Cultural Affairs (ECA) to support women entrepreneurs around the world. The AWE program provides female entrepreneurs with the skills, resources, and networks needed to launch and scale businesses within an inclusive learning community. In its third iteration in the DRC, the AWE program will train and enhance the capacity of 100 women entrepreneurs in five cities who have been running businesses for at least one year. The program consists of three phases: completion of an online curriculum (DreamBuilder); interactive sessions with business leaders; and a business plan competition, in which the top 20 participants will pitch their business ideas in Kinshasa. Ten finalists will have the opportunity to travel to Harvard Business School in the United States for advanced training. Through AWE, the U.S. Embassy in Kinshasa aims to strengthen and professionalize existing entrepreneurial networks by leveraging alumni contacts in five key provinces Alumni of U.S. government-funded exchange programs will play a central role as primary facilitators, collaborating with local NGOs that focus on sustainable management solutions. These facilitators will engage with participants through the American Spaces network across the country.","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","the academy for women entrepreneurs (awe) program was established by the u.s. department of state’s bureau of educational and cultural affairs (eca) to support women entrepreneurs around the world. the awe program provides female entrepreneurs with the skills, resources, and networks needed to launch and scale businesses within an inclusive learning community. in its third iteration in the drc, the awe program will train and enhance the capacity of 100 women entrepreneurs in five cities who have been running businesses for at least one year. the program consists of three phases: completion of an online curriculum (dreambuilder); interactive sessions with business leaders; and a business plan competition, in which the top 20 participants will pitch their business ideas in kinshasa. ten finalists will have the opportunity to travel to harvard business school in the united states for advanced training. through awe, the u.s. embassy in kinshasa aims to strengthen and professionalize existing entrepreneurial networks by leveraging alumni contacts in five key provinces alumni of u.s. government-funded exchange programs will play a central role as primary facilitators, collaborating with local ngos that focus on sustainable management solutions. these facilitators will engage with participants through the american spaces network across the country.",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/357933"",""PE-SVK-FY2025-04"")",The Academy for Women Entrepreneurs in Slovakia,DOS-SVK,U.S. Mission to Slovakia,Education,,Grant,19.022 - Educational and Cultural Exchange Programs Appropriation Overseas Grants,,1.0,35000,10000,No,https://sk.usembassy.gov/nofo-the-academy-for-women-entrepreneurs-in-slovakia/,Bratislava_Democracy@state.gov,,Bratislava_Democracy@state.gov,,,2024-12-30,02/09/2025,Dec-30-2024 05:51:13 AM EST,Synopsis 1,Archived,No,Yes,"PROGRAM DESCRIPTION The U.S. Embassy Bratislava of the U.S. Department of State announces an open competition for organizations to submit applications to carry out a program to promote women’s social and economic empowerment and provide enterprising women with knowledge, networks, and access to launch and scale successful businesses. Please follow all instructions below.Priority Region: Eastern SlovakiaProgram Objectives:The U.S. Embassy in Bratislava is soliciting proposals aimed at advancing women's economic opportunities and equipping women with the capabilities and resources needed to participate in the economy through the Academy of Women Entrepreneurship (AWE).AWE seeks to bring together a cohort of approximately 30 women who will meet both online and in-person to learn core business skills, including strategic planning, marketing, and finance. The program utilizes the no-cost, online learning platform DreamBuilder, which teaches participants the fundamentals of starting or growing a small business from a U.S. perspective. DreamBuilder offers modules on marketing, pricing, and bookkeeping, and includes a built-in business plan generator. The female participants discuss the modules with local facilitators, business leaders, and U.S. exchange alumni mentors.AWE strongly encourages applicants to partner with local NGOs, universities, and chambers of commerce for this program to offer women the opportunity to amplify their newly learned business skills and network with other businesspeople through speed mentoring, pitch competitions, and entrepreneurship fairs.Proposals must use DreamBuilder for their curriculum. Successful proposals also demonstrate strong engagement of U.S. exchange alumni, female expert speakers, and women business leaders, including those with connections to the United States, and include site visits to successful female-led businesses to offer inspiration and experience.","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","program description the u.s. embassy bratislava of the u.s. department of state announces an open competition for organizations to submit applications to carry out a program to promote women’s social and economic empowerment and provide enterprising women with knowledge, networks, and access to launch and scale successful businesses. please follow all instructions below.priority region: eastern slovakiaprogram objectives:the u.s. embassy in bratislava is soliciting proposals aimed at advancing women's economic opportunities and equipping women with the capabilities and resources needed to participate in the economy through the academy of women entrepreneurship (awe).awe seeks to bring together a cohort of approximately 30 women who will meet both online and in-person to learn core business skills, including strategic planning, marketing, and finance. the program utilizes the no-cost, online learning platform dreambuilder, which teaches participants the fundamentals of starting or growing a small business from a u.s. perspective. dreambuilder offers modules on marketing, pricing, and bookkeeping, and includes a built-in business plan generator. the female participants discuss the modules with local facilitators, business leaders, and u.s. exchange alumni mentors.awe strongly encourages applicants to partner with local ngos, universities, and chambers of commerce for this program to offer women the opportunity to amplify their newly learned business skills and network with other businesspeople through speed mentoring, pitch competitions, and entrepreneurship fairs.proposals must use dreambuilder for their curriculum. successful proposals also demonstrate strong engagement of u.s. exchange alumni, female expert speakers, and women business leaders, including those with connections to the united states, and include site visits to successful female-led businesses to offer inspiration and experience.",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/357924"",""CDC-RFA-DP22-22070401SUPP25"")",Statewide Perinatal Quality Collaboratives,HHS-CDC-NCCDPHP,Centers for Disease Control - NCCDPHP,Health,,Cooperative Agreement,93.946 - Cooperative Agreements to Support State-Based Safe Motherhood and Infant Health Initiative Programs,3566000.0,11.0,100000,0,No,,Tai N. Baker,770-488-5175,guz1@cdc.gov,04/04/2025,05/03/2025,2024-12-27,,Dec-27-2024 01:10:59 PM EST,Forecast 1,Forecasted,No,,"Perinatal outcomes in the US are poor, with a disproportionate impact on some populations due to factors such as race/ethnicity, geography, economic and disability status.[1]  Perinatal Quality Collaboratives are established statewide networks working to improve the quality of maternal and infant care within healthcare facilities and systems, with the ultimate goal of reducing morbidity and mortality for all women and infants. The purpose of this two-year project is to improve the quality of patient care by ensuring equitable, respectful care in birthing hospitals and facilities. Through activities guided by the revised AHRQ Safety Program for Perinatal Care, Phase 2 toolkit (SPPC-II), PQCs will center birth equity and address disparate care and outcomes.  Component A will support Statewide Perinatal Quality Collaboratives (PQCs) currently funded by CDC through CDC-RFA-DP22-2207 to implement the revised SPPC-II. In addition, awardees will evaluate both 1) the implementation of the revised SPPC-II and 2) the impact of SPPC-II. Component B will support the provision of technical assistance and trainings to assist PQCs with implementation and evaluation of their activities and will conduct an evaluation of 1) the overall implementation of SPPC-II, eg usability, feasibility, adoption etc. and 2) the effectiveness of the SPPC-II in incorporating respectful maternity care practices.    [1] Mohamoud YA, Cassidy E, Fuchs E, et al. Vital Signs: Maternity Care Experiences — United States, April 2023. MMWR Morb Mortal Wkly Rep 2023;72:961–967. DOI: http://dx.doi.org/10.15585/mmwr.mm7235e1.","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","perinatal outcomes in the us are poor, with a disproportionate impact on some populations due to factors such as race/ethnicity, geography, economic and disability status.[1]  perinatal quality collaboratives are established statewide networks working to improve the quality of maternal and infant care within healthcare facilities and systems, with the ultimate goal of reducing morbidity and mortality for all women and infants. the purpose of this two-year project is to improve the quality of patient care by ensuring equitable, respectful care in birthing hospitals and facilities. through activities guided by the revised ahrq safety program for perinatal care, phase 2 toolkit (sppc-ii), pqcs will center birth equity and address disparate care and outcomes.  component a will support statewide perinatal quality collaboratives (pqcs) currently funded by cdc through cdc-rfa-dp22-2207 to implement the revised sppc-ii. in addition, awardees will evaluate both 1) the implementation of the revised sppc-ii and 2) the impact of sppc-ii. component b will support the provision of technical assistance and trainings to assist pqcs with implementation and evaluation of their activities and will conduct an evaluation of 1) the overall implementation of sppc-ii, eg usability, feasibility, adoption etc. and 2) the effectiveness of the sppc-ii in incorporating respectful maternity care practices.    [1] mohamoud ya, cassidy e, fuchs e, et al. vital signs: maternity care experiences — united states, april 2023. mmwr morb mortal wkly rep 2023;72:961–967. doi: http://dx.doi.org/10.15585/mmwr.mm7235e1.",True,False
"=HYPERLINK(""https://www.grants.gov/search-results-detail/357922"",""RFA-CK-25-182"")",Enhanced Surveillance and Control of Endemic and Emerging Arboviruses in Puerto Rico,HHS-CDC-HHSCDCERA,Centers for Disease Control and Prevention - ERA,Health,,Cooperative Agreement,"93.084 - Prevention of Disease, Disability, and Death by Infectious Diseases",25000000.0,1.0,5000000,500000,No,,"Brian York
RYork@cdc.gov",,RYork@cdc.gov,,,2024-12-27,02/28/2025,Dec-27-2024 10:56:20 AM EST,Synopsis 1,Archived,Yes,Yes,"The purpose of this notice of funding opportunity (NOFO) is to strengthen an established research platform for arboviruses in hospital and community settings in Puerto Rico, identify emerging and endemic pathogens like dengue and Oropouche viruses, improve patient management, and evaluate prevention and control strategies. The core objectives include: 1) strengthen hospital surveillance of acute febrile illness (AFI) to ensure early detection of emerging arboviruses and other pathogens; 2) use the established AFI surveillance platform to conduct clinical research on dengue and other arboviral diseases, including among special populations such as women and children; 3) maintain and enhance the community cohort to assess incidence and prevalence of arboviral infections and other AFIs, while also evaluate the effectiveness of vector control strategies; 4) strengthen and modernize infrastructure for project data management and analysis, ensuring the surveillance platform is capable of handling large, complex datasets in real-time; and 5) strengthen collaborations with the local government, community leaders, and other interest holders to ensure the continuity of the established program while fostering an environment of rapid and effective communication and cooperation.","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","the purpose of this notice of funding opportunity (nofo) is to strengthen an established research platform for arboviruses in hospital and community settings in puerto rico, identify emerging and endemic pathogens like dengue and oropouche viruses, improve patient management, and evaluate prevention and control strategies. the core objectives include: 1) strengthen hospital surveillance of acute febrile illness (afi) to ensure early detection of emerging arboviruses and other pathogens; 2) use the established afi surveillance platform to conduct clinical research on dengue and other arboviral diseases, including among special populations such as women and children; 3) maintain and enhance the community cohort to assess incidence and prevalence of arboviral infections and other afis, while also evaluate the effectiveness of vector control strategies; 4) strengthen and modernize infrastructure for project data management and analysis, ensuring the surveillance platform is capable of handling large, complex datasets in real-time; and 5) strengthen collaborations with the local government, community leaders, and other interest holders to ensure the continuity of the established program while fostering an environment of rapid and effective communication and cooperation.",True,False
